BnaA05g27600D	GSBRNA2T00000301001
BnaA05g27610D	GSBRNA2T00000302001
BnaA05g27620D	GSBRNA2T00000303001
BnaA05g27630D	GSBRNA2T00000304001
BnaA05g27640D	GSBRNA2T00000306001
BnaA05g27650D	GSBRNA2T00000307001
BnaA05g27660D	GSBRNA2T00000310001
BnaA05g27670D	GSBRNA2T00000311001
BnaA05g27680D	GSBRNA2T00000312001
BnaA05g27690D	GSBRNA2T00000313001
BnaA05g27700D	GSBRNA2T00000314001
BnaA05g27710D	GSBRNA2T00000315001
BnaA05g27720D	GSBRNA2T00000316001
BnaA05g27730D	GSBRNA2T00000317001
BnaA05g27740D	GSBRNA2T00000318001
BnaA05g27750D	GSBRNA2T00000320001
BnaA05g27760D	GSBRNA2T00000321001
BnaA05g27770D	GSBRNA2T00000322001
BnaA05g27780D	GSBRNA2T00000323001
BnaA05g27790D	GSBRNA2T00000324001
BnaA05g27800D	GSBRNA2T00000325001
BnaA05g27810D	GSBRNA2T00000326001
BnaA05g27820D	GSBRNA2T00000328001
BnaA05g27830D	GSBRNA2T00000329001
BnaA05g27840D	GSBRNA2T00000330001
BnaA05g27850D	GSBRNA2T00000331001
BnaA05g27860D	GSBRNA2T00000332001
BnaA05g27870D	GSBRNA2T00000334001
BnaA05g27880D	GSBRNA2T00000335001
BnaA05g27890D	GSBRNA2T00000336001
BnaA05g27900D	GSBRNA2T00000337001
BnaA05g27910D	GSBRNA2T00000338001
BnaA05g27920D	GSBRNA2T00000339001
BnaA05g27930D	GSBRNA2T00000340001
BnaA05g27940D	GSBRNA2T00000341001
BnaA05g27950D	GSBRNA2T00000342001
BnaA05g27960D	GSBRNA2T00000343001
BnaA05g27970D	GSBRNA2T00000345001
BnaA05g27980D	GSBRNA2T00000348001
BnaA05g27990D	GSBRNA2T00000349001
BnaA05g28000D	GSBRNA2T00000350001
BnaA05g28010D	GSBRNA2T00000351001
BnaA05g28020D	GSBRNA2T00000352001
BnaA05g28030D	GSBRNA2T00000353001
BnaA05g28040D	GSBRNA2T00000354001
BnaA05g28050D	GSBRNA2T00000358001
BnaA05g28060D	GSBRNA2T00000359001
BnaA05g28070D	GSBRNA2T00000360001
BnaA05g28080D	GSBRNA2T00000361001
BnaA05g28090D	GSBRNA2T00000362001
BnaA05g28100D	GSBRNA2T00000363001
BnaA05g28110D	GSBRNA2T00000364001
BnaA05g28120D	GSBRNA2T00000366001
BnaA05g28130D	GSBRNA2T00000367001
BnaA05g28140D	GSBRNA2T00000368001
BnaA05g28150D	GSBRNA2T00000369001
BnaA05g28160D	GSBRNA2T00000370001
BnaA05g28170D	GSBRNA2T00000371001
BnaA05g28180D	GSBRNA2T00000372001
BnaA05g28190D	GSBRNA2T00000373001
BnaA05g28200D	GSBRNA2T00000374001
BnaA05g28210D	GSBRNA2T00000375001
BnaA05g28220D	GSBRNA2T00000376001
BnaA05g28230D	GSBRNA2T00000377001
BnaA05g28240D	GSBRNA2T00000378001
BnaA05g28250D	GSBRNA2T00000379001
BnaA05g28260D	GSBRNA2T00000380001
BnaA05g28270D	GSBRNA2T00000381001
BnaA05g28280D	GSBRNA2T00000382001
BnaA05g28290D	GSBRNA2T00000383001
BnaA05g28300D	GSBRNA2T00000385001
BnaA05g28310D	GSBRNA2T00000386001
BnaA05g28320D	GSBRNA2T00000387001
BnaA05g28330D	GSBRNA2T00000388001
BnaA05g28340D	GSBRNA2T00000390001
BnaA05g28350D	GSBRNA2T00000391001
BnaA05g28360D	GSBRNA2T00000392001
BnaA05g28370D	GSBRNA2T00000394001
BnaA05g28380D	GSBRNA2T00000395001
BnaA05g28390D	GSBRNA2T00000396001
BnaA05g28400D	GSBRNA2T00000398001
BnaA05g28410D	GSBRNA2T00000399001
BnaA05g28420D	GSBRNA2T00000400001
BnaA05g28430D	GSBRNA2T00000401001
BnaA05g28440D	GSBRNA2T00000402001
BnaA05g28450D	GSBRNA2T00000403001
BnaA05g28460D	GSBRNA2T00000404001
BnaA05g28470D	GSBRNA2T00000405001
BnaA05g28480D	GSBRNA2T00000406001
BnaA05g28490D	GSBRNA2T00000407001
BnaA05g28500D	GSBRNA2T00000409001
BnaA05g28510D	GSBRNA2T00000410001
BnaA05g28520D	GSBRNA2T00000411001
BnaA05g28530D	GSBRNA2T00000412001
BnaA05g28540D	GSBRNA2T00000413001
BnaA05g28550D	GSBRNA2T00000414001
BnaA05g28560D	GSBRNA2T00000415001
BnaA05g28570D	GSBRNA2T00000416001
BnaC04g19310D	GSBRNA2T00000418001
BnaC04g19320D	GSBRNA2T00000423001
BnaC04g19330D	GSBRNA2T00000424001
BnaC04g19340D	GSBRNA2T00000428001
BnaC04g19350D	GSBRNA2T00000430001
BnaC04g19360D	GSBRNA2T00000435001
BnaC04g19370D	GSBRNA2T00000439001
BnaC04g19380D	GSBRNA2T00000446001
BnaC04g19390D	GSBRNA2T00000447001
BnaC04g19400D	GSBRNA2T00000448001
BnaC04g19410D	GSBRNA2T00000450001
BnaC04g19420D	GSBRNA2T00000452001
BnaC04g19430D	GSBRNA2T00000453001
BnaC04g19440D	GSBRNA2T00000454001
BnaC04g19450D	GSBRNA2T00000455001
BnaC04g19460D	GSBRNA2T00000456001
BnaC04g19470D	GSBRNA2T00000457001
BnaC04g19480D	GSBRNA2T00000459001
BnaC04g19490D	GSBRNA2T00000460001
BnaC04g19500D	GSBRNA2T00000461001
BnaC04g19510D	GSBRNA2T00000466001
BnaC04g19520D	GSBRNA2T00000467001
BnaC04g19530D	GSBRNA2T00000468001
BnaC04g19540D	GSBRNA2T00000469001
BnaC04g19550D	GSBRNA2T00000470001
BnaC04g19560D	GSBRNA2T00000471001
BnaC04g19570D	GSBRNA2T00000472001
BnaC04g19580D	GSBRNA2T00000473001
BnaC04g19590D	GSBRNA2T00000476001
BnaC04g19600D	GSBRNA2T00000480001
BnaC04g19610D	GSBRNA2T00000482001
BnaC04g19620D	GSBRNA2T00000483001
BnaC04g19630D	GSBRNA2T00000484001
BnaC04g19640D	GSBRNA2T00000485001
BnaC04g19650D	GSBRNA2T00000492001
BnaC04g19660D	GSBRNA2T00000494001
BnaC04g19670D	GSBRNA2T00000495001
BnaC04g19680D	GSBRNA2T00000496001
BnaC04g19690D	GSBRNA2T00000498001
BnaC04g19700D	GSBRNA2T00000501001
BnaC04g19710D	GSBRNA2T00000502001
BnaC04g19720D	GSBRNA2T00000508001
BnaC04g19730D	GSBRNA2T00000509001
BnaC04g19740D	GSBRNA2T00000510001
BnaC04g19750D	GSBRNA2T00000511001
BnaC04g19760D	GSBRNA2T00000512001
BnaC04g19770D	GSBRNA2T00000513001
BnaC04g19780D	GSBRNA2T00000514001
BnaC04g19790D	GSBRNA2T00000515001
BnaC04g19800D	GSBRNA2T00000516001
BnaC04g19810D	GSBRNA2T00000517001
BnaC04g19820D	GSBRNA2T00000518001
BnaC04g19830D	GSBRNA2T00000526001
BnaC04g19840D	GSBRNA2T00000529001
BnaC04g19850D	GSBRNA2T00000533001
BnaC04g19860D	GSBRNA2T00000536001
BnaC04g19870D	GSBRNA2T00000537001
BnaC04g19880D	GSBRNA2T00000538001
BnaC04g19890D	GSBRNA2T00000539001
BnaC04g19900D	GSBRNA2T00000541001
BnaC03g55000D	GSBRNA2T00000545001
BnaC03g54990D	GSBRNA2T00000552001
BnaC03g54980D	GSBRNA2T00000553001
BnaC03g54970D	GSBRNA2T00000554001
BnaC03g54960D	GSBRNA2T00000560001
BnaC03g54950D	GSBRNA2T00000561001
BnaC03g54940D	GSBRNA2T00000566001
BnaC03g54930D	GSBRNA2T00000570001
BnaC03g54920D	GSBRNA2T00000573001
BnaC03g54910D	GSBRNA2T00000574001
BnaC03g54900D	GSBRNA2T00000575001
BnaC03g54890D	GSBRNA2T00000580001
BnaC03g54880D	GSBRNA2T00000581001
BnaC03g54870D	GSBRNA2T00000584001
BnaC03g54860D	GSBRNA2T00000597001
BnaC03g54850D	GSBRNA2T00000598001
BnaC03g54840D	GSBRNA2T00000600001
BnaC03g54830D	GSBRNA2T00000606001
BnaC03g54820D	GSBRNA2T00000607001
BnaC03g54810D	GSBRNA2T00000614001
BnaC03g54800D	GSBRNA2T00000618001
BnaC03g54790D	GSBRNA2T00000621001
BnaC03g54780D	GSBRNA2T00000622001
BnaC03g54770D	GSBRNA2T00000623001
BnaC03g54760D	GSBRNA2T00000626001
BnaC03g54750D	GSBRNA2T00000627001
BnaC03g54740D	GSBRNA2T00000629001
BnaC03g54730D	GSBRNA2T00000630001
BnaC03g54720D	GSBRNA2T00000631001
BnaC03g54710D	GSBRNA2T00000632001
BnaC03g54700D	GSBRNA2T00000635001
BnaC03g54690D	GSBRNA2T00000636001
BnaC03g54680D	GSBRNA2T00000637001
BnaC03g54670D	GSBRNA2T00000638001
BnaC03g54660D	GSBRNA2T00000639001
BnaA06g25070D	GSBRNA2T00000640001
BnaA06g25060D	GSBRNA2T00000642001
BnaA06g25050D	GSBRNA2T00000643001
BnaA06g25040D	GSBRNA2T00000644001
BnaA06g25030D	GSBRNA2T00000645001
BnaA06g25020D	GSBRNA2T00000646001
BnaA06g25010D	GSBRNA2T00000647001
BnaA06g25000D	GSBRNA2T00000648001
BnaA06g24990D	GSBRNA2T00000649001
BnaA06g24980D	GSBRNA2T00000651001
BnaA06g24970D	GSBRNA2T00000652001
BnaA06g24960D	GSBRNA2T00000653001
BnaA06g24950D	GSBRNA2T00000654001
BnaA06g24940D	GSBRNA2T00000655001
BnaA06g24930D	GSBRNA2T00000656001
BnaA06g24920D	GSBRNA2T00000657001
BnaA06g24910D	GSBRNA2T00000658001
BnaA06g24900D	GSBRNA2T00000659001
BnaA06g24890D	GSBRNA2T00000660001
BnaA06g24880D	GSBRNA2T00000661001
BnaA06g24870D	GSBRNA2T00000662001
BnaA06g24860D	GSBRNA2T00000665001
BnaA06g24850D	GSBRNA2T00000666001
BnaA06g24840D	GSBRNA2T00000667001
BnaA06g24830D	GSBRNA2T00000668001
BnaA06g24820D	GSBRNA2T00000670001
BnaA06g24810D	GSBRNA2T00000671001
BnaA06g24800D	GSBRNA2T00000672001
BnaA06g24790D	GSBRNA2T00000673001
BnaA06g24780D	GSBRNA2T00000674001
BnaA06g24770D	GSBRNA2T00000677001
BnaA06g24760D	GSBRNA2T00000678001
BnaA06g24750D	GSBRNA2T00000679001
BnaA06g24740D	GSBRNA2T00000680001
BnaA06g24730D	GSBRNA2T00000681001
BnaA06g24720D	GSBRNA2T00000682001
BnaA06g24710D	GSBRNA2T00000683001
BnaA06g24700D	GSBRNA2T00000684001
BnaA06g24690D	GSBRNA2T00000686001
BnaA06g24680D	GSBRNA2T00000687001
BnaA06g24670D	GSBRNA2T00000688001
BnaA06g24660D	GSBRNA2T00000689001
BnaA06g24650D	GSBRNA2T00000690001
BnaA06g24640D	GSBRNA2T00000691001
BnaA06g24630D	GSBRNA2T00000692001
BnaA06g24620D	GSBRNA2T00000693001
BnaA06g24610D	GSBRNA2T00000694001
BnaA06g24600D	GSBRNA2T00000695001
BnaA06g24590D	GSBRNA2T00000697001
BnaA06g24580D	GSBRNA2T00000700001
BnaA06g24570D	GSBRNA2T00000701001
BnaA06g24560D	GSBRNA2T00000702001
BnaA06g24550D	GSBRNA2T00000704001
BnaA06g24540D	GSBRNA2T00000705001
BnaA06g24530D	GSBRNA2T00000706001
BnaA06g24520D	GSBRNA2T00000707001
BnaA06g24510D	GSBRNA2T00000708001
BnaA06g24500D	GSBRNA2T00000709001
BnaA06g24490D	GSBRNA2T00000710001
BnaA06g24480D	GSBRNA2T00000711001
BnaA06g24470D	GSBRNA2T00000712001
BnaA06g24460D	GSBRNA2T00000713001
BnaA06g24450D	GSBRNA2T00000714001
BnaA06g24440D	GSBRNA2T00000715001
BnaA06g24430D	GSBRNA2T00000716001
BnaA06g24420D	GSBRNA2T00000717001
BnaA06g24410D	GSBRNA2T00000718001
